port_name,lat_long,lat,lon,port_uc
BUNTOK,"-1.700000000000,114.800000000000",-1.7,114.8,BUNTOK
BUNYU,"3.500000000000,117.800000000000",3.5,117.8,BUNYU
BUNYU/TUKS PT. PERTAMINA,"3.461304390212,117.838449654154",3.461304390212,117.838449654154,BUNYU/TUKS PT. PERTAMINA
BUOL,"1.191956994267,121.424299394766",1.191956994267,121.424299394766,BUOL
BURANGA,"-4.818755918167,123.005997094186",-4.818755918167,123.005997094186,BURANGA
BUSAN,"35.100000000000,129.033333333333",35.1,129.033333333333,BUSAN
BUSUA,"-0.207294912114,127.129246554799",-0.207294912114,127.129246554799,BUSUA
"CAGAYAN DE ORO, MINDANAO","8.499156110924,124.663295692392",8.499156110924,124.663295692392,"CAGAYAN DE ORO, MINDANAO"
CAI MEP,"10.526975073894,107.018200809767",10.526975073894,107.018200809767,CAI MEP
CALABAI,"-8.214007843351,117.710069609992",-8.214007843351,117.710069609992,CALABAI
CALABAY,"-8.214007843351,117.710069609992",-8.214007843351,117.710069609992,CALABAY
CALACA,"13.915085592245,120.823559916511",13.915085592245,120.823559916511,CALACA
CALANG,"4.633333333333,95.583333333333",4.633333333333,95.583333333333,CALANG
CALM KAKAP NATUNA,"5.016666666700,105.931666666700",5.0166666667,105.9316666667,CALM KAKAP NATUNA
CAM PHA,"21.033333333333,107.366666666667",21.033333333333,107.366666666667,CAM PHA
CAMPLONG/TERSUS PT. PERTAMINA,"-7.218576432456,113.316538858200",-7.218576432456,113.3165388582,CAMPLONG/TERSUS PT. PERTAMINA
CAN THO,"9.985541026312,105.832777599790",9.985541026312,105.83277759979,CAN THO
CAOJING,"30.778297599078,121.447793225691",30.778297599078,121.447793225691,CAOJING
CAPA UJUNG,"-4.002547932864,119.621788649441",-4.002547932864,119.621788649441,CAPA UJUNG
CAROCOK PAINAN,"-1.364841790478,100.566936852131",-1.364841790478,100.566936852131,CAROCOK PAINAN
CARTAGENA,"37.583333333333,-0.983333333333",37.583333333333,-0.983333333333,CARTAGENA
CASTELLÓN DE LA PLANA,"39.970595240390,0.018727291930",39.97059524039,0.01872729193,CASTELLÓN DE LA PLANA
CEBU,"10.300000000000,123.900000000000",10.3,123.9,CEBU
CELUKAN BAWANG,"-8.183333333333,114.833333333333",-8.183333333333,114.833333333333,CELUKAN BAWANG
CHAGUARAMAS,"10.680092803524,-61.639096108738",10.680092803524,-61.639096108738,CHAGUARAMAS
CHANGSHU PT,"31.766994973681,120.951494581161",31.766994973681,120.951494581161,CHANGSHU PT
CHAOZHOU PT,"23.557336702348,117.097943722291",23.557336702348,117.097943722291,CHAOZHOU PT
CHATTOGRAM,"22.308433883913,91.802306886169",22.308433883913,91.802306886169,CHATTOGRAM
CHENNAI (EX MADRAS),"13.105063705920,80.303480352656",13.10506370592,80.303480352656,CHENNAI (EX MADRAS)
CHINA,"30.642411424424,122.073521688615",30.642411424424,122.073521688615,CHINA
CHITA,"34.992856442410,136.841141355021",34.99285644241,136.841141355021,CHITA
CHIWAN PT,"22.475528031418,113.884965530938",22.475528031418,113.884965530938,CHIWAN PT
CHRISTMAS ISLAND,"-10.424389327940,105.671051028307",-10.42438932794,105.671051028307,CHRISTMAS ISLAND
CIGADING,"-6.016666666667,105.966666666667",-6.016666666667,105.966666666667,CIGADING
CILACAP,"-7.733333333333,109.000000000000",-7.733333333333,109.0,CILACAP
CILEGON,"-6.200000000000,106.300000000000",-6.2,106.3,CILEGON
"CINTA, JAVA","-5.422500000000,106.236111100000",-5.4225,106.2361111,"CINTA, JAVA"
CIREBON,"-6.731427391964,108.586131997224",-6.731427391964,108.586131997224,CIREBON
CIWANDAN,"-6.016666666667,105.950000000000",-6.016666666667,105.95,CIWANDAN
COLOMBO,"6.943036553849,79.845468299078",6.943036553849,79.845468299078,COLOMBO
CONCONG LUAR,"-0.236811693681,103.640182506713",-0.236811693681,103.640182506713,CONCONG LUAR
"DABO, SINGKEP ISL","-0.500961348837,104.565534962921",-0.500961348837,104.565534962921,"DABO, SINGKEP ISL"
DACHENBEI,"22.534080194802,113.854728628338",22.534080194802,113.854728628338,DACHENBEI
DAIK LINGGA,"-0.275195820537,104.519897554149",-0.275195820537,104.519897554149,DAIK LINGGA
DAMPIER,"-20.661626616463,116.699401070348",-20.661626616463,116.699401070348,DAMPIER
DANGJIN,"36.961052692335,126.839118912388",36.961052692335,126.839118912388,DANGJIN
DAPALAN,"4.421337569468,126.860327773741",4.421337569468,126.860327773741,DAPALAN
DAR ES SALAAM,"-6.816666666667,39.300000000000",-6.816666666667,39.3,DAR ES SALAAM
DARUBA,"2.083333333333,128.233333333333",2.083333333333,128.233333333333,DARUBA
"DAVAO, PHILIPPINES","7.128163601965,125.663959517655",7.128163601965,125.663959517655,"DAVAO, PHILIPPINES"
DAWAI,"-1.816255364174,136.725041507388",-1.816255364174,136.725041507388,DAWAI
DAWERA/DAWELOR,"-7.700049292732,130.005463232538",-7.700049292732,130.005463232538,DAWERA/DAWELOR
DAWI-DAWI,"-4.176224594751,121.604016747495",-4.176224594751,121.604016747495,DAWI-DAWI
DEMTA,"-2.333333333333,140.133333333333",-2.333333333333,140.133333333333,DEMTA
"DENPASAR, BALI","-8.650000000000,115.216666666667",-8.65,115.216666666667,"DENPASAR, BALI"
DEPAPRE,"-2.453711247947,140.360435361573",-2.453711247947,140.360435361573,DEPAPRE
DILI,"-8.533333333333,125.583333333333",-8.533333333333,125.583333333333,DILI
DOBO,"-5.750000000000,134.216666666667",-5.75,134.216666666667,DOBO
DOBO/TERSUS PT. PERTAMINA,"-5.756190873365,134.238881103975",-5.756190873365,134.238881103975,DOBO/TERSUS PT. PERTAMINA
DOFA,"-1.803758419545,125.376049893827",-1.803758419545,125.376049893827,DOFA
DOLIK,"-0.272447207988,127.693243599433",-0.272447207988,127.693243599433,DOLIK
DONDANG,"-0.794330379652,117.222834443231",-0.794330379652,117.222834443231,DONDANG
DONG NAI,"10.899673218603,106.840968133150",10.899673218603,106.84096813315,DONG NAI
DONGGALA,"-0.650000000000,119.733333333333",-0.65,119.733333333333,DONGGALA
DONGGALA/TUKS PT. PERTAMINA,"-0.657048316578,119.809591370184",-0.657048316578,119.809591370184,DONGGALA/TUKS PT. PERTAMINA
DONGGI,"-1.533333333333,122.250000000000",-1.533333333333,122.25,DONGGI
DONGGUAN PT,"22.815352436689,113.663684453164",22.815352436689,113.663684453164,DONGGUAN PT
DONGKALA,"-5.515767743931,122.866239985788",-5.515767743931,122.866239985788,DONGKALA
DONGYING PT,"38.086833304322,118.979331721624",38.086833304322,118.979331721624,DONGYING PT
DOROSAGU,"1.346100964889,127.992258813249",1.346100964889,127.992258813249,DOROSAGU
DUFA-DUFA,"0.814893066504,127.389745578112",0.814893066504,127.389745578112,DUFA-DUFA
DUMAGUETE,"9.316666666667,123.300000000000",9.316666666667,123.3,DUMAGUETE
DUMAI,"1.683333333333,101.450000000000",1.683333333333,101.45,DUMAI
DUMAI / TUKS PERTAMINA,"1.687050055292,101.463440851105",1.687050055292,101.463440851105,DUMAI / TUKS PERTAMINA
DURAI KOTA,"0.506363500214,103.624077948844",0.506363500214,103.624077948844,DURAI KOTA
DURBAN,"-29.866666666667,31.066666666667",-29.866666666667,31.066666666667,DURBAN
DURIAN,"1.016666666667,103.566666666667",1.016666666667,103.566666666667,DURIAN
EBEYE,"8.780320204330,167.735819080105",8.78032020433,167.735819080105,EBEYE
ELAT,"29.550000000000,34.950000000000",29.55,34.95,ELAT
ENDE,"-8.833333333333,121.650000000000",-8.833333333333,121.65,ENDE
ENDE/TUKS PT. PERTAMINA,"-8.845154220087,121.641527456991",-8.845154220087,121.641527456991,ENDE/TUKS PT. PERTAMINA
ENNORE,"13.097119193251,80.295764795252",13.097119193251,80.295764795252,ENNORE
EREKE,"-4.772458472251,123.171815474199",-4.772458472251,123.171815474199,EREKE
ERETAN,"-6.321275369708,108.087638796851",-6.321275369708,108.087638796851,ERETAN
ERHA TERMINAL,"5.383333333300,4.350000000000",5.3833333333,4.35,ERHA TERMINAL
ESSANG,"4.460204029309,126.731011761891",4.460204029309,126.731011761891,ESSANG
FAK FAK,"-2.932340575720,132.310433083696",-2.93234057572,132.310433083696,FAK FAK
FAK-FAK/TERSUS PT. PERTAMINA,"-2.923109538192,132.236133944393",-2.923109538192,132.236133944393,FAK-FAK/TERSUS PT. PERTAMINA
FALABISAHAYA,"-1.789781048422,125.483924800669",-1.789781048422,125.483924800669,FALABISAHAYA
FANGCHENG PT,"21.620705826507,108.336475835931",21.620705826507,108.336475835931,FANGCHENG PT
FATANLAP,"-1.990912825796,130.340339463225",-1.990912825796,130.340339463225,FATANLAP
FOGI,"-2.056883363660,125.981768432004",-2.05688336366,125.981768432004,FOGI
FREEPORT,"-4.817731638545,136.845672708603",-4.8177316385450295,136.84567270860282,FREEPORT
FREMANTLE,"-32.050000000000,115.750000000000",-32.05,115.75,FREMANTLE
FUZHOU,"26.083333333333,119.300000000000",26.083333333333,119.3,FUZHOU
GAG ISLAND,"-0.440245678003,129.905596155419",-0.440245678003,129.905596155419,GAG ISLAND
GALALA,"-3.661997414433,128.204926284839",-3.661997414433,128.204926284839,GALALA
GALANG,"0.777715011889,104.182085192963",0.777715011889,104.182085192963,GALANG
"GALELA, HALMAHERA","1.819722191018,127.847847114339",1.819722191018,127.847847114339,"GALELA, HALMAHERA"
GALESONG/TAKALAR,"-5.322959712389,119.355271971008",-5.322959712389,119.355271971008,GALESONG/TAKALAR
GANE DALAM,"-0.770045904662,128.221447007032",-0.770045904662,128.221447007032,GANE DALAM
GANE LUAR,"-0.711668137263,128.226282473423",-0.711668137263,128.226282473423,GANE LUAR
GARONGKONG,"-4.377439987292,119.614472042262",-4.377439987292,119.614472042262,GARONGKONG
GEBE,"-0.076292209184,129.424022044341",-0.076292209184,129.424022044341,GEBE
GEMEH,"4.421693171378,126.859950207923",4.421693171378,126.859950207923,GEMEH
GEOJE,"34.910581151233,128.595601730016",34.910581151233,128.595601730016,GEOJE
GERONGGANG,"-2.862129502395,116.203149355891",-2.862129502395,116.203149355891,GERONGGANG
GESER,"-3.878733433904,130.901607266847",-3.878733433904,130.901607266847,GESER
"GILIMANUK, BALI","-8.160857983211,114.436976656986",-8.160857983211,114.436976656986,"GILIMANUK, BALI"
GITA/PAYAHE,"0.391354462879,127.622766767940",0.391354462879,127.62276676794,GITA/PAYAHE
GO DAU A TERMINAL,"10.659528175595,107.018868644059",10.659528175595,107.018868644059,GO DAU A TERMINAL
GO DAU B TERMINAL,"10.650550295946,107.014833825584",10.650550295946,107.014833825584,GO DAU B TERMINAL
